scope,lo,hi,cover,shift,count,sum,local_mean,residual,residual_rate,z
block,0,1000000,5,2,8167,-2773,-0.3333333333333333,-50.66666666666697,-0.006203828415166765,-0.5946580695361896
block,0,1000000,7,2,8168,-1652,-0.2,-18.399999999999864,-0.002252693437806056,-0.20778985592327587
block,0,1000000,11,2,8168,-852,-0.1111111111111111,55.55555555555554,0.006801610621395145,0.6185390832061276
block,0,1000000,13,2,8168,-724,-0.09090909090909091,18.545454545454618,0.0022705012910693703,0.206054299016054
block,0,1000000,17,2,8168,-592,-0.06666666666666667,-47.4666666666667,-0.005811296114920017,-0.5263784730664751
block,0,1000000,19,2,8168,-534,-0.058823529411764705,-53.52941176470591,-0.0065535518810854445,-0.5933176718450099
block,0,1000000,5,6,16385,-5387,-0.3333333333333333,74.66666666666606,0.004557013528633876,0.6186995526143869
block,0,1000000,7,6,16385,-3327,-0.2,-50,-0.003051571559353067,-0.3986678049658708
block,0,1000000,11,6,16384,-1854,-0.1111111111111111,-33.55555555555566,-0.002048068576388895,-0.26378614422067914
block,0,1000000,13,6,16384,-1464,-0.09090909090909091,25.454545454545496,0.0015536221590909116,0.19969051575709212
block,0,1000000,17,6,16384,-1018,-0.06666666666666667,74.26666666666665,0.004532877604166666,0.581501999004767
block,0,1000000,19,6,16385,-947,-0.058823529411764705,16.82352941176464,0.001026764077617616,0.13165779170216918
block,0,1000000,5,8,8241,-2801,-0.3333333333333333,-54,-0.006552602839461231,-0.6309283814326867
block,0,1000000,7,8,8242,-1636,-0.2,12.400000000000091,0.001504489201650096,0.13940224360215256
block,0,1000000,11,8,8240,-896,-0.1111111111111111,19.555555555555543,0.0023732470334412066,0.21677244119614436
block,0,1000000,13,8,8241,-575,-0.09090909090909091,174.18181818181824,0.021136005118531517,1.9267036700847606
block,0,1000000,17,8,8242,-578,-0.06666666666666667,-28.533333333333303,-0.0034619428941195466,-0.3149948510084237
block,0,1000000,19,8,8241,-497,-0.058823529411764705,-12.235294117647072,-0.0014846856106840278,-0.13501348080041045
block,0,1000000,5,12,16377,-5539,-0.3333333333333333,-80,-0.004884899554252916,-0.6630542661673797
block,0,1000000,7,12,16377,-3307,-0.2,-31.59999999999991,-0.0019295353239298962,-0.2520195847138847
