family,scale,X,H,signed,shiftwiseAbsolute,cancellationRatio,zeroModeContribution,centeredSigned,zeroModeFraction,zeroModeIdentityError
divisor-minus-log,one-third,4096,16,70669.77863744115,1146663.8022252514,0.061630774862080046,87478.90928225347,-16809.130644811008,1.2378545818156388,-1.3133103493601084e-9
lambda-minus-one,one-third,4096,16,-2431.7944911223053,62108.83419863713,0.03915376165884735,3.4138737805823727,-2435.2083649047077,-0.0014038496234140348,1.8198988982476294e-9
local-z11,one-third,4096,16,-2010.18212890625,63347.20068359375,0.03173276967591191,0.11561691761016846,-2010.2977458238602,-0.000057515642959713405,0
lambda-minus-local-correlation,one-third,4096,16,-421.6123622160551,2320.150536820584,0.1817176754374788,3.298256862972204,-424.9106190808484,-0.007822960516708033,1.8210926100437064e-9
divisor-minus-log,five-twelfths,4096,32,166047.2775389564,2350674.1015322506,0.07063815329854574,174946.76886726858,-8899.491328312704,1.0535961291278881,5.329638952389359e-10
lambda-minus-one,five-twelfths,4096,32,-1667.8928860518547,127573.71861093503,0.013073953665476132,5.716506322989749,-1673.6093923759554,-0.003427382160326585,1.1109477782156318e-9
local-z11,five-twelfths,4096,32,-1002.73876953125,129841.06201171875,0.007722817065688729,0.06920868158340454,-1002.8079782128334,-0.00006901965266163739,0
lambda-minus-local-correlation,five-twelfths,4096,32,-665.1541165206038,6063.465591160373,0.1096986709201911,5.647297641406344,-670.8014141631212,-0.0084902092630008,1.1110614650533535e-9
divisor-minus-log,half-over-two,4096,32,166047.2775389564,2350674.1015322506,0.07063815329854574,174946.76886726858,-8899.491328312704,1.0535961291278881,5.329638952389359e-10
lambda-minus-one,half-over-two,4096,32,-1667.8928860518547,127573.71861093503,0.013073953665476132,5.716506322989749,-1673.6093923759554,-0.003427382160326585,1.1109477782156318e-9
local-z11,half-over-two,4096,32,-1002.73876953125,129841.06201171875,0.007722817065688729,0.06920868158340454,-1002.8079782128334,-0.00006901965266163739,0
lambda-minus-local-correlation,half-over-two,4096,32,-665.1541165206038,6063.465591160373,0.1096986709201911,5.647297641406344,-670.8014141631212,-0.0084902092630008,1.1110614650533535e-9
divisor-minus-log,one-third,8192,20,177956.24286209274,3366395.5633157254,0.05286254675514575,218408.3738242675,-40452.13096216969,1.2273150427969148,-5.071342457085848e-9
