feature,key,L,eta,split,distinct_h,cell_count,mean_z,std_z
v2,0,256,0.4396908254015113,train,129,129,0.0015477418842765323,0.0370716923592327
v2,0,256,0.4396908254015113,holdout,128,128,0.0032413209257679183,0.041755074922004747
v2,0,512,0.4946521785767002,train,129,129,-0.001549563160918642,0.039659923864641296
v2,0,512,0.4946521785767002,holdout,128,128,0.00024316238802822923,0.040907496651141746
v2,0,1024,0.5496135317518891,train,129,129,-0.002243283423595622,0.055996583252895436
v2,0,1024,0.5496135317518891,holdout,128,128,0.0005986461900684924,0.05763750572087749
v2,0,2048,0.604574884927078,train,129,129,-0.003100385113240194,0.07948880668175255
v2,0,2048,0.604574884927078,holdout,128,128,0.0008910498427283033,0.08120090366513609
v2,0,4096,0.6595362381022669,train,129,129,-0.004378906145221424,0.11291451179481508
v2,0,4096,0.6595362381022669,holdout,128,128,0.0014226048875432534,0.11522604295711536
v2,0,8192,0.7144975912774558,train,129,129,-0.006942866842510199,0.16120439176158594
v2,0,8192,0.7144975912774558,holdout,128,128,0.0022381780740168347,0.16392775833228554
v2,1,256,0.4396908254015113,train,63,63,-0.0010902540766021995,0.039304344896243
v2,1,256,0.4396908254015113,holdout,64,64,-0.008072472269624573,0.03850901850591361
v2,1,512,0.4946521785767002,train,63,63,0.000551602766493371,0.0335414780731095
v2,1,512,0.4946521785767002,holdout,64,64,-0.0005004895753590713,0.035781587716376004
v2,1,1024,0.5496135317518891,train,63,63,0.0006064497716894964,0.047775342357025935
v2,1,1024,0.5496135317518891,holdout,64,64,-0.0005167085830479457,0.05061650287877465
v2,1,2048,0.604574884927078,train,63,63,0.0013668301182729685,0.06811515638809505
v2,1,2048,0.604574884927078,holdout,64,64,-0.0011093629866191163,0.07147576545161925
v2,1,4096,0.6595362381022669,train,63,63,0.002335125226561212,0.09659449094144719
v2,1,4096,0.6595362381022669,holdout,64,64,-0.0025030749891868515,0.10184373911077099
v2,1,8192,0.7144975912774558,train,63,63,0.003181340555150432,0.13763125346754135
v2,1,8192,0.7144975912774558,holdout,64,64,-0.004066881620825191,0.14439221365496777
v2,2,256,0.4396908254015113,train,32,32,0.00018664675767918085,0.04687850005257187
v2,2,256,0.4396908254015113,holdout,32,32,0.004706164675767918,0.04251450218860959
v2,2,512,0.4946521785767002,train,32,32,0.000486324776056442,0.042848514474981655
v2,2,512,0.4946521785767002,holdout,32,32,0.0021436062944624242,0.045554714928261734
v2,2,1024,0.5496135317518891,train,32,32,0.0006421232876712337,0.06034603550079818
v2,2,1024,0.5496135317518891,holdout,32,32,0.003120317851027397,0.06452756541676899
v2,2,2048,0.604574884927078,train,32,32,0.0012719113600595782,0.08520636666396947
v2,2,2048,0.604574884927078,holdout,32,32,0.003630642501662549,0.09096003752881843
v2,2,4096,0.6595362381022669,train,32,32,0.0025326421929065743,0.12147541291841571
v2,2,4096,0.6595362381022669,holdout,32,32,0.006394963775951556,0.12795990274023683
v2,2,8192,0.7144975912774558,train,32,32,0.004925808957484402,0.17313425795401605
v2,2,8192,0.7144975912774558,holdout,32,32,0.009963072520007834,0.18038880804860782
v2,3,256,0.4396908254015113,train,16,16,-0.0009865614334470993,0.051289544655338304
v2,3,256,0.4396908254015113,holdout,16,16,0.013385238907849827,0.02964362226244896
v2,3,512,0.4946521785767002,train,16,16,0.002851846259593174,0.052757267748526994
v2,3,512,0.4946521785767002,holdout,16,16,0.017384930344076302,0.040445373609002334
v2,3,1024,0.5496135317518891,train,16,16,0.004086847174657534,0.07509157553747532
v2,3,1024,0.5496135317518891,holdout,16,16,0.02399266909246575,0.05815983036650815
v2,3,2048,0.604574884927078,train,16,16,0.005775806437285421,0.10669004247348948
v2,3,2048,0.604574884927078,holdout,16,16,0.03444127141773233,0.08245365997727488
v2,3,4096,0.6595362381022669,train,16,16,0.008140273572664353,0.15148439964931304
v2,3,4096,0.6595362381022669,holdout,16,16,0.04901059688581315,0.11820736890373544
v2,3,8192,0.7144975912774558,train,16,16,0.014014205120555717,0.21772464294889718
v2,3,8192,0.7144975912774558,holdout,16,16,0.06812541586698931,0.16985804075461353
v2,4,256,0.4396908254015113,train,8,8,0.008132465870307169,0.03370373464514663
v2,4,256,0.4396908254015113,holdout,8,8,0.018957977815699665,0.060668708816768925
v2,4,512,0.4946521785767002,train,8,8,0.0004155007795433874,0.03172141506484414
v2,4,512,0.4946521785767002,holdout,8,8,0.005986988505238659,0.04908732960954115
v2,4,1024,0.5496135317518891,train,8,8,0.000321061643835616,0.04482509553626855
v2,4,1024,0.5496135317518891,holdout,8,8,0.008468000856164386,0.07033369468129644
v2,4,2048,0.604574884927078,train,8,8,-0.00020882126806946212,0.06315156632243794
